=== Recipes with Range Patterns - Manual Review List ===
Generated: 2026-02-08 18:19:11 +0700
Total: 159 ingredients

Recipe                                   | Old Description                | Amount     | Unit       | Formatted Display
--------------------------------------------------------------------------------------------------------------------------------------------
43er Caipi                               | 1-2 Limetten                   | 1.5        |            | 1 1/2
43er Caipi                               | 2-3 BL Rohrzucker              | 2.5        |            | 2 1/2
Absinth Sour                             | 2-3 Teelöffel Zucker           | 2.5        | TL         | 2,5 TL
Afrutado                                 | 1-2cl Limettensaft             | 1.5        | cl         | 1,5 cl
Agave Basil                              | 15-20 große Basilikumblätter   | 17.5       |            | 17 1/2
Amélie                                   | 2-3 TL Honig                   | 2.5        | TL         | 2,5 TL
Amélie                                   | 6-7 Erdbeeren                  | 6.5        |            | 6 1/2
Americano AF                             | 3 cl Bitter-Sirup              | 3.0        | cl         | 3 cl
Anguri Sour                              | 2-3cm Gurke                    | NOT PARSED | NOT PARSED | 2-3cm Gurke
Apple Mojito                             | 2-3 Zweige Minze               | 2.5        | Zweig      | 2,5 Zweige
Apricorose Cocktail                      | 0.5-1cl Rosensirup             | 0.75       | cl         | 0,75 cl
Banana-Summer-Dream                      | 1BL Zitronen- oder Limett...   | NOT PARSED | NOT PARSED | 1BL Zitronen- oder Limettensaft
Banana`s Dreamland                       | ca 5-6 Zitronenmelissenbl...   | NOT PARSED | NOT PARSED | ca 5-6 Zitronenmelissenblätter
Banane à l`amande                        | 2-3 cl Mandelsirup             | 2.5        | cl         | 2,5 cl
Batida de Kiwi                           | 5-7cl Cachaça                  | 6.0        | cl         | 6 cl
Black Caipirovka                         | 1-2 Limetten                   | 1.5        |            | 1 1/2
Black Refresher                          | 15 - 20 cl Schwarzbier         | 17.5       | cl         | 17,5 cl
Blauer Kapitän                           | 4cl BlueCuracao-Sirup          | 4.0        | cl         | 4 cl
Bourbon Red                              | 1-2 cl Grenadinensirup         | 1.5        | cl         | 1,5 cl
Breakfast Martini                        | 2BL Orangen- oder Limette...   | NOT PARSED | NOT PARSED | 2BL Orangen- oder Limettenmarmelade
Broken Shoe Shiner                       | 2-4 Spritzer Rosenwasser       | 3.0        | Spritzer   | 3 Spritzer
Brokkr                                   | 0,5cl - 1cl Minzsirup          | 0.5        | cl         | 0,5 cl
Café Frappé   Καφές φραπέ                | 2 BL Instant-Kaffee Mocca      | 2.0        |            | 2
Café Frappé   Καφές φραπέ                | 1 - 2 BL Zucker (optional)     | 1.5        |            | 1 1/2
Café Frappé   Καφές φραπέ                | 1 - 2 cl Kaffeesahne / Mi...   | 1.5        | cl         | 1,5 cl
Caipirinha                               | 1-2 Limetten                   | 1.5        |            | 1 1/2
Caipirinha Rose                          | 3-4BL  pürrierte Erdbeeren     | NOT PARSED | NOT PARSED | 3-4BL  pürrierte Erdbeeren
Caipirovka                               | 1-2 Limetten                   | 1.5        |            | 1 1/2
Carribean Blue                           | 3 - 4 cl Limoncello            | 3.5        | cl         | 3,5 cl
Chocolate Mojito                         | 3-4 Minzblätter                | 3.5        |            | 3 1/2
Clover Club                              | wenige Tropfen Ei-Klar         | NOT PARSED | NOT PARSED | wenige Tropfen Ei-Klar
Contraire                                | 1,5-2cl Grapefruitsaft         | 1.75       | cl         | 1,75 cl
Contraire                                | 8-10 Stachelbeeren             | 9.0        |            | 9
Cucumber                                 | 10-15cl Bitterlemon            | 12.5       | cl         | 12,5 cl
Cucumber                                 | 10-15g Gurke                   | NOT PARSED | NOT PARSED | 10-15g Gurke
Daiquiri (alkoholfrei)                   | 1-2 Dash Rumaroma              | 1.5        | Spritzer   | 1,5 Spritzer
Dead Eyes (Halloween)                    | 2-3 Dash Grenadinensirup       | 2.5        | Spritzer   | 2,5 Spritzer
Don the Beachcombers MAI TAI             | 2 - 2,5 cl Limettensaft        | 2.25       | cl         | 2,25 cl
Dons Special Daiquiri                    | 3 cl goldener Jamaica-Rum      | 3.0        | cl         | 3 cl
Dons Special Daiquiri                    | 1,5 cl Maracuja-Sirup          | 1.5        | cl         | 1,5 cl
Dons Special Daiquiri                    | 1,5 cl Honig-Mix (Honig+W...   | 1.5        | cl         | 1,5 cl
Draka                                    | 2-3 Tropfen Minzsirup          | 2.5        |            | 2 1/2
